Pattern String,Pattern Category,predicted_predicate
Merchandise: $69.99iService Charge: $14.99 Total Before Tax: $84.98 Estimated Tax:$5.63Order Total: $90.61,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Order Subtotal $19.99 Standard Delivery $12.99 Care & Handling $2.99 Tax $2.38 Total $38.35 Savings Today $10.00,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Hugs and Kisses Rose Bouquet $44.99 Discount -$6.75 Delivery $13.99 Tax $3.46 Item Total $55.69,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Free 60 day VIP trial membership with this order. Cancel anytime.,Sneaking,"create_hidden_subscription(ui_element, user_action)"
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of £3.75 per publication. You also agree to receive supplementary Directories and ‘New In’ publications at no additional charge.",Sneaking,"create_hidden_subscription(ui_element, user_action)"
"◊After 1 year, subscription auto renews with fee. Review your iFit® Coach account on a computer, tablet, smartphone, or equipment console.",Sneaking,"hide_additional_costs(ui_element, purchase_process)"
"Be part of the best family ever & enjoy 15% in VIP Benefits on every order, every day. That's 10% Instant Savings plus 5% back in Rewards Cash on everything. Plus, enjoy 90 days to test run your shoes, socks, and insoles. And so much more! Join today for just $1.99 your first year.  ",Sneaking,"create_hidden_subscription(ui_element, user_action)"
"1 Netflix offer: Not available to customers with an active Netflix offer from Vodafone. Available only on Red+ Lite, Unlimited, Red+ Essentials and Red+ until the 8th of August 2019. Exit fee of $60 applies if you exit or transfer your plan before 6 months. Plan exit fees may also apply. Netflix Offer: One year Netflix ‘Standard’ plan ($14.99 a month) credit will be applied to your Netflix account on activation. At the end of your credit, you will be charged at your Netflix plan rate unless you cancel your Netflix subscription. Cancel Netflix at any time. Netflix compatible device required. See eligible plans and full Netflix terms.",Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Enjoy FREE shipping with WSJwine Advantage,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Shipping Insurance Remove Insurance,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
Purchase protection added,Sneaking,"hide_additional_costs(ui_element, purchase_process)"
