Pattern String,Pattern Category,predicted_predicate
No thanks! I don't like deals,Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I'll rather pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I don't like discounts,Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No, thanks. I don't like great deals.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No Thanks, I rather pay full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like saving money",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I'd like 0% off",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I despise coupons!",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like getting free stuff.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like good deals.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"no thanks, I like paying full price",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
I WANT TO PAY MORE LATER ;),Misdirection,"obfuscate_comparison_details(ui_element, product_details)"
"No thanks, I dont want a discount",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I don't like FREE stuff.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I prefer to pay full price.",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"NO, I DON'T FEEL LUCKY",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No thanks, I hate saving money",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
"No, I don't feel lucky",Misdirection,"use_confirmshaming_language(ui_element, opt_out_button)"
