Pattern String,Pattern Category,predicted_predicate
Collin P. from Grandview Missouri just bought BURGUNDY TWO BUTTON SUIT ABOUT 5 SECONDS AGO,Social Proof,"display_activity_message_overlay(message, item)"
"Faith in Glendale, United States purchased a Choose Your Flavors 5 Bag Sample Pack (Whole Bean) about 1 hour ago",Social Proof,"display_activity_message_overlay(message, item)"
Sharmeen Atif From Karachi just bought Stylish Metal Glasses Frames For Kids-Assorted-NA7157,Social Proof,"generate_fake_endorsement(endorsement, location)"
9 people are viewing this.,Social Proof,"display_activity_message_overlay(message, item)"
5338 people viewed this in the last hour,Social Proof,"display_activity_message_overlay(message, item)"
"Keith in Champaign, Illinois bought Mini USB Audio Cassette to MP3 Converterabout 56 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
Jamie from Eloy United States purchased a CBD Oil Vape Additives 4 Pack About 7 hours ago,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Social Proof,"display_activity_message_overlay(message, item)"
"Chelsea in Burlington, Wisconsin bought Take Out The Boat Jumpsuit, Blackabout 13 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"Crystal Li in Flushing, United States purchased a",Social Proof,"display_activity_message_overlay(message, item)"
🔥 2 people are looking right now,Social Proof,"display_activity_message_overlay(message, item)"
3 people bought this item last week.,Social Proof,"display_activity_message_overlay(message, item)"
31 people seeing this product right now,Social Proof,"display_activity_message_overlay(message, item)"
"Ken in Oakland, United States purchased a Dreamville Hoodie a month ago",Social Proof,"display_activity_message_overlay(message, item)"
19 people have viewed this item,Social Proof,"display_activity_message_overlay(message, item)"
Rebecca in Buffalo just bought Sateen Twill Swatchabout 1 hour ago,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Social Proof,"display_activity_message_overlay(message, item)"
2 people are looking at this listing now,Social Proof,"display_activity_message_overlay(message, item)"
4 sold in last 5 hours,Social Proof,"display_activity_message_overlay(message, item)"
72 Viewing This Product,Social Proof,"display_activity_message_overlay(message, item)"
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Social Proof,"display_activity_message_overlay(message, item)"
Favored By: 400 people!,Social Proof,"generate_fake_endorsement(endorsement, location)"
"Annie in Cheras, Malaysia just bought: An Abundance of Flowers - Van-Go Paint-By-Number Kit",Social Proof,"display_activity_message_overlay(message, item)"
"Kamal in Lathrop, United States purchased a Father Sons Super Slim Stretch Feather Print Long Sleeve - FS429 4 hours ago",Social Proof,"display_activity_message_overlay(message, item)"
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Social Proof,"generate_fake_endorsement(endorsement, location)"
Someone purchased a FORWARD REVIVE WOMEN'S RED WHITE HUSTLE T-SHIRT 32 minutes ago,Social Proof,"display_activity_message_overlay(message, item)"
Real time 30 Visitor right now,Social Proof,"display_activity_message_overlay(message, item)"
9 sold in last 4 hours,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Cape Town, Western Cape, South Africa just started buying Packable Travel Duffel Bag! 5 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
61 people have already bought that product today with 50% discount,Social Proof,"display_activity_message_overlay(message, item)"
"Sayeeganesh in Chennai, India just bought Dhoni the Finisher T-Shirt an hour ago",Social Proof,"display_activity_message_overlay(message, item)"
"1,446 people have viewed this item",Social Proof,"display_activity_message_overlay(message, item)"
218 people have added this item to cart,Social Proof,"display_activity_message_overlay(message, item)"
11 people have purchased this item,Social Proof,"display_activity_message_overlay(message, item)"
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Social Proof,"display_activity_message_overlay(message, item)"
38 people are viewing this,Social Proof,"display_activity_message_overlay(message, item)"
"Someone from Rochedale, Queensland, Australia started buying this!",Social Proof,"generate_fake_endorsement(endorsement, location)"
39 recently purchased it,Social Proof,"display_activity_message_overlay(message, item)"
85 have it in their cart,Social Proof,"display_activity_message_overlay(message, item)"
"Leah Rich in Louisville, United States purchased a",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Someone in Madrid, Spain just bought",Social Proof,"display_activity_message_overlay(message, item)"
33 sold in last 12 hours.,Social Proof,"display_activity_message_overlay(message, item)"
78 Persons looking for this product,Social Proof,"display_activity_message_overlay(message, item)"
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Social Proof,"display_activity_message_overlay(message, item)"
"Tyler in Norwalk, United States purchased a",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Ampang, Malaysia just bought",Social Proof,"display_activity_message_overlay(message, item)"
64 users bought this product Touch: The Set - Touch XL & TouchUp Makeup Mirror Bundle,Social Proof,"display_activity_message_overlay(message, item)"
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Social Proof,"generate_fake_endorsement(endorsement, location)"
404 Orders,Social Proof,"display_activity_message_overlay(message, item)"
Trending Style! Sold 4 times today,Social Proof,"display_activity_message_overlay(message, item)"
"Someone in San diego, United States just bought Gemfield Watch 15 days ago",Social Proof,"generate_fake_endorsement(endorsement, location)"
"Alyssa in San Antonio, United States purchased a iTunes Japan Gift Card 10000 JPY about 35 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
"Someone in Paris, France just purchased a Kanpeki Knife Set",Social Proof,"display_activity_message_overlay(message, item)"
"3,081 people have viewed this item",Social Proof,"display_activity_message_overlay(message, item)"
166 people have added this item to cart,Social Proof,"display_activity_message_overlay(message, item)"
111 people have purchased this item,Social Proof,"display_activity_message_overlay(message, item)"
"James in Cashion, Oklahoma just bought Glossy Black Brick Geode / Amber Gradient Fast Lanes",Social Proof,"display_activity_message_overlay(message, item)"
7 people have it in their cart,Social Proof,"display_activity_message_overlay(message, item)"
1 person is viewing this,Social Proof,"display_activity_message_overlay(message, item)"
273 units sold in the last 30 days,Social Proof,"display_activity_message_overlay(message, item)"
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof,"generate_fake_endorsement(endorsement, location)"
33 people are eyeing this item!,Social Proof,"display_activity_message_overlay(message, item)"
2 people are looking right now,Social Proof,"display_activity_message_overlay(message, item)"
"Monira in Doha, Qatar purchased a LilyVanity™ Velvet Box",Social Proof,"generate_fake_endorsement(endorsement, location)"
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Social Proof,"generate_fake_endorsement(endorsement, location)"
"Jamie in Nashville, United States purchased",Social Proof,"display_activity_message_overlay(message, item)"
117 people have viewed this item in the last 7 days.,Social Proof,"display_activity_message_overlay(message, item)"
"Sabrina in Paraparaumu, New Zealand purchased a SCHO-KA-KOLA Schokakola energy Chocolate caffeine snack food MRE caffeinated ",Social Proof,"display_activity_message_overlay(message, item)"
3642 BOUGHT,Social Proof,"display_activity_message_overlay(message, item)"
"Mounif in Pittsburgh, United States purchased",Social Proof,"display_activity_message_overlay(message, item)"
2049 sold in the last 7 days,Social Proof,"display_activity_message_overlay(message, item)"
Someone in city just added Radiance - Nebulizing Diffuser® to their cart,Social Proof,"display_activity_message_overlay(message, item)"
1626 people seeing this product right now,Social Proof,"display_activity_message_overlay(message, item)"
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof,"display_activity_message_overlay(message, item)"
In other users' carts 59,Social Proof,"display_activity_message_overlay(message, item)"
5 Viewing This Product,Social Proof,"display_activity_message_overlay(message, item)"
"Matthew in Charleston, South Carolina just purchased The Puffy Lux Mattress",Social Proof,"display_activity_message_overlay(message, item)"
